iter	Passed	Remaining
0	165	165026
1	166	83278
2	168	56006
3	170	42512
4	172	34305
5	173	28805
6	175	24865
7	177	22010
8	179	19788
9	181	17936
10	182	16433
11	184	15174
12	186	14126
13	187	13187
14	188	12401
15	191	11778
16	192	11149
17	194	10593
18	196	10128
19	197	9676
20	198	9263
21	199	8888
22	201	8545
23	202	8234
24	204	7979
25	206	7745
26	207	7494
27	209	7261
28	210	7046
29	211	6848
30	213	6669
31	214	6489
32	215	6326
33	217	6184
34	218	6035
35	222	5944
36	223	5819
37	224	5693
38	226	5577
39	227	5468
40	229	5358
41	231	5271
42	232	5174
43	233	5077
44	236	5014
45	237	4926
46	238	4842
47	240	4767
48	241	4690
49	242	4613
50	244	4545
51	245	4478
52	246	4411
53	250	4380
54	251	4322
55	252	4261
56	253	4201
57	255	4144
58	257	4101
59	258	4049
60	259	3996
61	260	3945
62	262	3897
63	263	3851
64	266	3827
65	267	3784
66	268	3740
67	270	3700
68	271	3660
69	272	3619
70	273	3580
71	275	3551
72	276	3515
73	278	3478
74	280	3460
75	281	3426
76	283	3400
77	285	3372
78	286	3339
79	287	3307
80	288	3276
81	290	3248
82	290	3212
83	292	3189
84	294	3175
85	296	3149
86	297	3122
87	298	3096
88	300	3071
89	301	3051
90	303	3027
91	304	3003
92	305	2979
93	306	2955
94	307	2932
95	310	2920
96	311	2899
97	312	2877
98	313	2857
99	315	2837
100	316	2816
101	318	2801
102	319	2784
103	320	2765
104	323	2756
105	324	2739
106	326	2728
107	328	2712
108	329	2696
109	331	2678
110	332	2660
111	333	2643
112	334	2627
113	336	2618
114	338	2608
115	340	2592
116	341	2575
117	342	2559
118	343	2544
119	345	2532
120	346	2517
121	347	2501
122	348	2487
123	350	2472
124	351	2460
125	354	2458
126	355	2443
127	356	2429
128	357	2415
129	358	2402
130	360	2389
131	361	2379
132	363	2367
133	364	2354
134	365	2342
135	368	2341
136	369	2329
137	371	2320
138	373	2310
139	374	2299
140	375	2287
141	376	2273
142	377	2262
143	378	2251
144	380	2244
145	384	2247
146	385	2237
147	387	2230
148	389	2227
149	391	2220
150	393	2211
151	395	2204
152	399	2211
153	400	2201
154	402	2192
155	403	2182
156	404	2172
157	405	2162
158	407	2153
159	409	2147
160	409	2136
161	411	2127
162	413	2124
163	415	2115
164	417	2111
165	418	2102
166	420	2095
167	421	2086
168	422	2077
169	423	2069
170	425	2063
171	428	2060
172	429	2052
173	430	2043
174	431	2034
175	432	2026
176	434	2021
177	435	2012
178	436	2004
179	438	1996
180	439	1988
181	441	1984
182	443	1980
183	445	1973
184	446	1965
185	447	1959
186	448	1951
187	450	1943
188	451	1939
189	453	1932
190	454	1925
191	456	1922
192	458	1915
193	459	1909
194	461	1905
195	462	1898
196	463	1891
197	465	1883
198	466	1877
199	467	1870
200	469	1865
201	471	1863
202	473	1857
203	474	1851
204	475	1844
205	476	1838
206	478	1833
207	479	1827
208	481	1821
209	482	1814
210	483	1808
211	484	1801
212	488	1805
213	490	1800
214	491	1794
215	493	1791
216	495	1786
217	497	1783
218	498	1778
219	499	1772
220	501	1769
221	503	1764
222	505	1759
223	507	1757
224	508	1753
225	510	1748
226	516	1759
227	519	1758
228	522	1757
229	523	1753
230	525	1748
231	526	1742
232	527	1736
233	528	1730
234	532	1734
235	534	1729
236	535	1724
237	536	1718
238	538	1714
239	539	1708
240	541	1704
241	542	1698
242	543	1693
243	546	1694
244	549	1692
245	550	1688
246	552	1683
247	553	1678
248	554	1672
249	555	1667
250	556	1661
251	559	1659
252	561	1659
253	563	1655
254	565	1650
255	569	1654
256	570	1650
257	572	1645
258	573	1640
259	577	1642
260	578	1638
261	580	1634
262	581	1629
263	583	1626
264	584	1622
265	586	1617
266	587	1612
267	589	1610
268	592	1609
269	595	1608
270	596	1604
271	597	1599
272	598	1594
273	600	1589
274	601	1584
275	603	1582
276	606	1582
277	607	1578
278	609	1575
279	611	1572
280	613	1568
281	614	1565
282	616	1561
283	618	1558
284	621	1559
285	622	1555
286	624	1551
287	626	1548
